Query,Join_size,True,Psql_est,Compass_estPlan
10_49_2,2,440948.0,45874.0,-1,"['lineitem-l', 'orders-o']"
10_49_3,3,120430.0,38977.0,-1,"['customer-c', 'nation-n', 'orders-o']"
10_49_4,3,440948.0,45874.0,-1,"['customer-c', 'lineitem-l', 'orders-o']"
10_49_5,4,440948.0,45874.0,-1,"['customer-c', 'lineitem-l', 'nation-n', 'orders-o']"
10_5_0,2,150000.0,62500.0,-1,"['customer-c', 'nation-n']"
10_5_1,2,63775.0,21285.0,-1,"['customer-c', 'orders-o']"
10_5_2,2,110522.0,25052.0,-1,"['lineitem-l', 'orders-o']"
10_5_3,3,63775.0,21285.0,-1,"['customer-c', 'nation-n', 'orders-o']"
10_5_4,3,110522.0,25052.0,-1,"['customer-c', 'lineitem-l', 'orders-o']"
10_5_5,4,110522.0,25052.0,-1,"['customer-c', 'lineitem-l', 'nation-n', 'orders-o']"
10_50_0,2,150000.0,62500.0,-1,"['customer-c', 'nation-n']"
10_50_1,2,65001.0,21896.0,-1,"['customer-c', 'orders-o']"
10_50_2,2,110522.0,25771.0,-1,"['lineitem-l', 'orders-o']"
10_50_3,3,65001.0,21896.0,-1,"['customer-c', 'nation-n', 'orders-o']"
10_50_4,3,110522.0,25771.0,-1,"['customer-c', 'lineitem-l', 'orders-o']"
10_50_5,4,110522.0,25771.0,-1,"['customer-c', 'lineitem-l', 'nation-n', 'orders-o']"
10_51_0,2,110522.0,26124.0,-1,"['lineitem-l', 'orders-o']"
10_51_1,2,66302.0,22196.0,-1,"['customer-c', 'orders-o']"
10_51_2,2,150000.0,62500.0,-1,"['customer-c', 'nation-n']"
10_51_3,3,66302.0,22196.0,-1,"['customer-c', 'nation-n', 'orders-o']"
10_51_4,3,110522.0,26124.0,-1,"['customer-c', 'lineitem-l', 'orders-o']"
10_51_5,4,110522.0,26124.0,-1,"['customer-c', 'lineitem-l', 'nation-n', 'orders-o']"
10_52_0,2,110522.0,25929.0,-1,"['lineitem-l', 'orders-o']"
10_52_1,2,65647.0,22031.0,-1,"['customer-c', 'orders-o']"
10_52_2,2,150000.0,62500.0,-1,"['customer-c', 'nation-n']"
10_52_3,3,65647.0,22031.0,-1,"['customer-c', 'nation-n', 'orders-o']"
10_52_4,3,110522.0,25929.0,-1,"['customer-c', 'lineitem-l', 'orders-o']"
10_52_5,4,110522.0,25929.0,-1,"['customer-c', 'lineitem-l', 'nation-n', 'orders-o']"
10_53_0,2,444092.0,47855.0,-1,"['lineitem-l', 'orders-o']"
10_53_1,2,122021.0,40660.0,-1,"['customer-c', 'orders-o']"
10_53_2,2,150000.0,62500.0,-1,"['customer-c', 'nation-n']"
10_53_3,3,122021.0,40660.0,-1,"['customer-c', 'nation-n', 'orders-o']"
10_53_4,3,444092.0,47855.0,-1,"['customer-c', 'lineitem-l', 'orders-o']"
10_53_5,4,444092.0,47855.0,-1,"['customer-c', 'lineitem-l', 'nation-n', 'orders-o']"
10_54_0,2,441202.0,46971.0,-1,"['lineitem-l', 'orders-o']"
10_54_1,2,120116.0,39909.0,-1,"['customer-c', 'orders-o']"
10_54_2,2,150000.0,62500.0,-1,"['customer-c', 'nation-n']"
10_54_3,3,120116.0,39909.0,-1,"['customer-c', 'nation-n', 'orders-o']"
10_54_4,3,441202.0,46971.0,-1,"['customer-c', 'lineitem-l', 'orders-o']"
10_54_5,4,441202.0,46971.0,-1,"['customer-c', 'lineitem-l', 'nation-n', 'orders-o']"
10_55_0,2,220744.0,46330.0,-1,"['lineitem-l', 'orders-o']"
10_55_1,2,122008.0,39365.0,-1,"['customer-c', 'orders-o']"
10_55_2,2,150000.0,62500.0,-1,"['customer-c', 'nation-n']"
10_55_3,3,122008.0,39365.0,-1,"['customer-c', 'nation-n', 'orders-o']"
10_55_4,3,220744.0,46330.0,-1,"['customer-c', 'lineitem-l', 'orders-o']"
10_55_5,4,220744.0,46330.0,-1,"['customer-c', 'lineitem-l', 'nation-n', 'orders-o']"
10_56_0,2,444805.0,46784.0,-1,"['lineitem-l', 'orders-o']"
10_56_1,2,122991.0,39750.0,-1,"['customer-c', 'orders-o']"
10_56_2,2,150000.0,62500.0,-1,"['customer-c', 'nation-n']"
10_56_3,3,122991.0,39750.0,-1,"['customer-c', 'nation-n', 'orders-o']"
10_56_4,3,444805.0,46784.0,-1,"['customer-c', 'lineitem-l', 'orders-o']"
10_56_5,4,444805.0,46784.0,-1,"['customer-c', 'lineitem-l', 'nation-n', 'orders-o']"
10_57_0,2,443873.0,46552.0,-1,"['lineitem-l', 'orders-o']"
10_57_1,2,122367.0,39553.0,-1,"['customer-c', 'orders-o']"
10_57_2,2,150000.0,62500.0,-1,"['customer-c', 'nation-n']"
10_57_3,3,122367.0,39553.0,-1,"['customer-c', 'nation-n', 'orders-o']"
10_57_4,3,443873.0,46552.0,-1,"['customer-c', 'lineitem-l', 'orders-o']"
10_57_5,4,443873.0,46552.0,-1,"['customer-c', 'lineitem-l', 'nation-n', 'orders-o']"
10_58_0,2,110522.0,26294.0,-1,"['lineitem-l', 'orders-o']"
10_58_1,2,66906.0,22341.0,-1,"['customer-c', 'orders-o']"
10_58_2,2,150000.0,62500.0,-1,"['customer-c', 'nation-n']"
10_58_3,3,66906.0,22341.0,-1,"['customer-c', 'nation-n', 'orders-o']"
10_58_4,3,110522.0,26294.0,-1,"['customer-c', 'lineitem-l', 'orders-o']"
10_58_5,4,110522.0,26294.0,-1,"['customer-c', 'lineitem-l', 'nation-n', 'orders-o']"
