query,join_size,true,psql_est,compass_est,plan
56_3,3,148552,133715,680848,"['movie_companies-mc', 'movie_keyword-mk', 'title-t']"
56_4,3,1038393,990592,2.32265e+06,"['cast_info-ci', 'movie_companies-mc', 'title-t']"
56_5,3,80274241,58898442,9.73869e+07,"['cast_info-ci', 'movie_keyword-mk', 'title-t']"
56_6,4,7796926,2732769,5.9129e+08,"['cast_info-ci', 'movie_companies-mc', 'movie_keyword-mk', 'title-t']"
57_0,2,4911717,3028636,3.82002e+06,"['cast_info-ci', 'title-t']"
57_1,2,86572,38532,95633,"['movie_info_idx-mi_idx', 'title-t']"
57_2,2,1053171,377501,1.00071e+06,"['movie_keyword-mk', 'title-t']"
57_3,3,897347,392928,2.10645e+06,"['cast_info-ci', 'movie_info_idx-mi_idx', 'title-t']"
57_4,3,2693690,1478686,4.36087e+06,"['movie_info_idx-mi_idx', 'movie_keyword-mk', 'title-t']"
57_5,3,84217062,14486905,1.08783e+08,"['cast_info-ci', 'movie_keyword-mk', 'title-t']"
57_6,4,81495003,7073015,6.32314e+08,"['cast_info-ci', 'movie_info_idx-mi_idx', 'movie_keyword-mk', 'title-t']"
58_0,2,3785589,2212525,3.02814e+06,"['cast_info-ci', 'title-t']"
58_1,2,58024,28149,67507,"['movie_info_idx-mi_idx', 'title-t']"
58_2,2,682355,275778,736537,"['movie_keyword-mk', 'title-t']"
58_3,3,547364,287048,2.40534e+06,"['cast_info-ci', 'movie_info_idx-mi_idx', 'title-t']"
58_4,3,1839592,1080232,3.89915e+06,"['movie_info_idx-mi_idx', 'movie_keyword-mk', 'title-t']"
58_5,3,53765709,10583195,4.95644e+07,"['cast_info-ci', 'movie_keyword-mk', 'title-t']"
58_6,4,51282842,5167086,1.3902e+09,"['cast_info-ci', 'movie_info_idx-mi_idx', 'movie_keyword-mk', 'title-t']"
59_0,2,524576,399955,584962,"['movie_companies-mc', 'title-t']"
59_1,2,296199,198813,279314,"['movie_info_idx-mi_idx', 'title-t']"
59_10,4,532005,2817463,1.2833e+08,"['movie_companies-mc', 'movie_info-mi', 'movie_info_idx-mi_idx', 'title-t']"
59_11,4,8559047,14021878,4.24309e+08,"['movie_companies-mc', 'movie_info_idx-mi_idx', 'movie_keyword-mk', 'title-t']"
59_12,4,289007,1071968,3.12717e+07,"['movie_companies-mc', 'movie_info-mi', 'movie_keyword-mk', 'title-t']"
59_13,4,5265503,3739116,3.54552e+08,"['movie_info-mi', 'movie_info_idx-mi_idx', 'movie_keyword-mk', 'title-t']"
59_14,5,8275169,14594882,1.24239e+10,"['movie_companies-mc', 'movie_info-mi', 'movie_info_idx-mi_idx', 'movie_keyword-mk', 'title-t']"
59_2,2,84174,70784,81037,"['movie_info-mi', 'title-t']"
59_3,2,684042,693477,452758,"['movie_keyword-mk', 'title-t']"
59_4,3,5553478,3592316,3.40837e+07,"['movie_companies-mc', 'movie_info_idx-mi_idx', 'title-t']"
59_5,3,731643,2706846,5.8891e+06,"['movie_companies-mc', 'movie_keyword-mk', 'title-t']"
59_6,3,447627,721816,1.3411e+06,"['movie_info-mi', 'movie_info_idx-mi_idx', 'title-t']"
59_7,3,494243,1029882,1.33989e+06,"['movie_info_idx-mi_idx', 'movie_keyword-mk', 'title-t']"
59_8,3,248594,366669,676198,"['movie_info-mi', 'movie_keyword-mk', 'title-t']"
59_9,3,71285,206938,249830,"['movie_companies-mc', 'movie_info-mi', 'title-t']"
5_0,2,211875,147301,209780,"['movie_companies-mc', 'title-t']"
5_1,2,3,1,30.9942,"['movie_info_idx-mi_idx', 'title-t']"
5_2,3,9,1,1242.4,"['movie_companies-mc', 'movie_info_idx-mi_idx', 'title-t']"
60_0,2,409251,323766,452627,"['movie_companies-mc', 'title-t']"
60_1,2,233592,160940,204492,"['movie_info_idx-mi_idx', 'title-t']"
60_10,4,346794,2280751,1.22378e+08,"['movie_companies-mc', 'movie_info-mi', 'movie_info_idx-mi_idx', 'title-t']"
60_11,4,5280948,11350786,5.18588e+08,"['movie_companies-mc', 'movie_info_idx-mi_idx', 'movie_keyword-mk', 'title-t']"
60_12,4,208040,867764,2.30612e+07,"['movie_companies-mc', 'movie_info-mi', 'movie_keyword-mk', 'title-t']"
60_13,4,3432100,3026835,4.0498e+08,"['movie_info-mi', 'movie_info_idx-mi_idx', 'movie_keyword-mk', 'title-t']"
60_14,5,5060606,11814637,6.77073e+09,"['movie_companies-mc', 'movie_info-mi', 'movie_info_idx-mi_idx', 'movie_keyword-mk', 'title-t']"
60_2,2,64063,57299,65312,"['movie_info-mi', 'title-t']"
60_3,2,475878,561374,341768,"['movie_keyword-mk', 'title-t']"
60_4,3,3655294,2907999,3.66425e+07,"['movie_companies-mc', 'movie_info_idx-mi_idx', 'title-t']"
60_5,3,488089,2191207,6.35675e+06,"['movie_companies-mc', 'movie_keyword-mk', 'title-t']"
60_6,3,305628,584314,2.0528e+06,"['movie_info-mi', 'movie_info_idx-mi_idx', 'title-t']"
60_7,3,374517,833695,1.07804e+06,"['movie_info_idx-mi_idx', 'movie_keyword-mk', 'title-t']"
60_8,3,183850,296821,403151,"['movie_info-mi', 'movie_keyword-mk', 'title-t']"
60_9,3,53013,167517,259982,"['movie_companies-mc', 'movie_info-mi', 'title-t']"
61_0,2,1170186,839213,1.30112e+06,"['movie_companies-mc', 'title-t']"
61_1,2,641527,417162,616735,"['movie_info_idx-mi_idx', 'title-t']"
61_10,4,1801122,5911786,2.40418e+08,"['movie_companies-mc', 'movie_info-mi', 'movie_info_idx-mi_idx', 'title-t']"
61_11,4,27360458,29421632,5.29252e+08,"['movie_companies-mc', 'movie_info_idx-mi_idx', 'movie_keyword-mk', 'title-t']"
61_12,4,784265,2249274,3.61432e+07,"['movie_companies-mc', 'movie_info-mi', 'movie_keyword-mk', 'title-t']"
61_13,4,16001104,7845660,2.05618e+08,"['movie_info-mi', 'movie_info_idx-mi_idx', 'movie_keyword-mk', 'title-t']"
61_14,5,26718423,30623948,1.50197e+10,"['movie_companies-mc', 'movie_info-mi', 'movie_info_idx-mi_idx', 'movie_keyword-mk', 'title-t']"
61_2,2,221314,148523,232384,"['movie_info-mi', 'title-t']"
61_3,2,1970380,1455099,1.84893e+06,"['movie_keyword-mk', 'title-t']"
61_4,3,16657594,7537635,2.77572e+07,"['movie_companies-mc', 'movie_info_idx-mi_idx', 'title-t']"
